Date;Time of day;Biomass[MWh];Hydropower[MWh];Wind offshore[MWh];Wind onshore[MWh];Photovoltaics[MWh];Other renewable[MWh];Nuclear[MWh];Fossil brown coal[MWh];Fossil hard coal[MWh];Fossil gas[MWh];Hydro pumped storage[MWh];Other conventional[MWh]
Jun 1, 2020;12:00 AM;1,164;373;1,324;3,437;0;33;1,895;828;428;614;186;259
Jun 1, 2020;12:15 AM;1,163;364;1,323;3,410;0;33;1,913;820;410;602;112;259
Jun 1, 2020;12:30 AM;1,161;361;1,324;3,406;0;33;1,910;817;405;602;127;259
Jun 1, 2020;12:45 AM;1,160;360;1,306;3,371;0;33;1,906;819;407;599;99;259
Jun 1, 2020;1:00 AM;1,163;364;1,306;3,301;0;33;1,919;817;406;584;90;258
Jun 1, 2020;1:15 AM;1,163;362;1,301;3,223;0;33;1,926;817;404;583;69;256
Jun 1, 2020;1:30 AM;1,166;365;1,267;3,141;0;33;1,931;827;406;577;90;258
Jun 1, 2020;1:45 AM;1,167;360;1,221;3,063;0;33;1,925;822;404;578;88;259
Jun 1, 2020;2:00 AM;1,167;358;1,193;2,992;0;33;1,928;817;405;585;112;259
Jun 1, 2020;2:15 AM;1,168;358;1,162;2,887;0;33;1,937;817;407;587;124;259
Jun 1, 2020;2:30 AM;1,163;356;1,151;2,778;0;33;1,943;818;408;589;105;259
Jun 1, 2020;2:45 AM;1,164;355;1,158;2,676;0;33;1,935;818;412;592;100;259
Jun 1, 2020;3:00 AM;1,170;351;1,136;2,590;0;33;1,947;814;413;590;33;259
Jun 1, 2020;3:15 AM;1,172;350;1,064;2,550;0;33;1,948;811;413;594;31;258
Jun 1, 2020;3:30 AM;1,173;350;952;2,491;0;33;1,945;812;412;595;26;259
Jun 1, 2020;3:45 AM;1,174;356;836;2,403;0;33;1,939;819;411;601;60;258
Jun 1, 2020;4:00 AM;1,172;360;711;2,336;0;33;1,944;811;408;596;78;259
Jun 1, 2020;4:15 AM;1,173;354;594;2,314;0;33;1,951;810;409;596;121;259
Jun 1, 2020;4:30 AM;1,170;346;502;2,296;1;33;1,953;817;410;597;172;259
Jun 1, 2020;4:45 AM;1,172;344;473;2,278;2;33;1,953;845;408;596;172;259
Jun 1, 2020;5:00 AM;1,173;343;424;2,267;13;33;1,951;866;430;594;86;259
Jun 1, 2020;5:15 AM;1,172;341;362;2,274;36;33;1,952;874;433;596;55;259
Jun 1, 2020;5:30 AM;1,170;347;332;2,204;87;33;1,955;877;430;591;78;259
Jun 1, 2020;5:45 AM;1,171;345;329;2,112;177;33;1,955;878;428;591;64;259
Jun 1, 2020;6:00 AM;1,169;340;335;2,037;303;33;1,954;877;431;591;94;258
Jun 1, 2020;6:15 AM;1,171;339;349;1,953;478;33;1,953;872;429;587;99;258
Jun 1, 2020;6:30 AM;1,168;338;360;1,880;706;33;1,952;869;430;587;116;259
Jun 1, 2020;6:45 AM;1,173;340;362;1,741;1,004;33;1,953;874;443;585;138;259
Jun 1, 2020;7:00 AM;1,173;343;368;1,549;1,345;33;1,955;872;473;605;284;259
Jun 1, 2020;7:15 AM;1,171;345;382;1,352;1,729;33;1,955;883;476;606;403;258
Jun 1, 2020;7:30 AM;1,175;340;394;1,191;2,154;33;1,952;874;471;597;351;255
Jun 1, 2020;7:45 AM;1,172;341;407;1,087;2,606;33;1,953;877;471;607;364;256
Jun 1, 2020;8:00 AM;1,172;341;425;1,016;3,076;33;1,952;865;471;597;430;256
Jun 1, 2020;8:15 AM;1,171;340;468;961;3,546;33;1,952;863;476;588;313;257
Jun 1, 2020;8:30 AM;1,172;342;512;942;4,018;33;1,937;862;478;584;261;256
Jun 1, 2020;8:45 AM;1,169;345;536;926;4,480;33;1,930;864;476;547;230;256
Jun 1, 2020;9:00 AM;1,169;350;567;937;4,926;33;1,938;887;477;494;148;256
Jun 1, 2020;9:15 AM;1,167;344;609;994;5,341;33;1,937;873;478;484;77;256
Jun 1, 2020;9:30 AM;1,165;343;638;1,087;5,742;33;1,936;848;476;480;34;256
Jun 1, 2020;9:45 AM;1,163;344;638;1,091;6,130;33;1,928;848;476;486;11;256
Jun 1, 2020;10:00 AM;1,160;359;638;1,149;6,495;33;1,936;863;477;475;50;257
Jun 1, 2020;10:15 AM;1,159;352;653;1,204;6,824;33;1,935;853;476;471;106;257
Jun 1, 2020;10:30 AM;1,156;342;677;1,295;7,119;33;1,933;842;477;476;56;256
Jun 1, 2020;10:45 AM;1,156;343;682;1,424;7,371;33;1,931;841;476;479;35;256
Jun 1, 2020;11:00 AM;1,160;344;675;1,550;7,583;33;1,933;809;458;479;35;256
Jun 1, 2020;11:15 AM;1,155;344;653;1,631;7,752;33;1,915;816;457;511;34;268
Jun 1, 2020;11:30 AM;1,157;344;627;1,710;7,884;33;1,908;809;455;510;33;268
Jun 1, 2020;11:45 AM;1,153;336;609;1,808;8,007;33;1,862;799;454;504;8;268
Jun 1, 2020;12:00 PM;1,157;329;617;1,869;8,103;33;1,799;805;460;481;22;268
Jun 1, 2020;12:15 PM;1,154;323;617;1,911;8,214;33;1,757;801;465;488;6;267
Jun 1, 2020;12:30 PM;1,155;324;621;1,900;8,274;33;1,722;795;465;491;6;267
Jun 1, 2020;12:45 PM;1,155;310;625;1,858;8,296;33;1,666;799;467;496;4;268
Jun 1, 2020;1:00 PM;1,156;301;622;1,707;8,299;33;1,639;803;456;502;25;268
Jun 1, 2020;1:15 PM;1,152;305;580;1,569;8,265;33;1,656;801;454;497;8;269
Jun 1, 2020;1:30 PM;1,152;301;563;1,478;8,230;33;1,645;801;455;496;5;269
Jun 1, 2020;1:45 PM;1,153;300;571;1,433;8,154;33;1,629;798;452;503;20;263
Jun 1, 2020;2:00 PM;1,153;296;551;1,347;8,087;33;1,636;804;461;506;15;269
Jun 1, 2020;2:15 PM;1,152;304;510;1,325;7,941;33;1,647;805;464;500;5;269
Jun 1, 2020;2:30 PM;1,151;294;488;1,386;7,861;33;1,655;796;465;508;3;268
Jun 1, 2020;2:45 PM;1,153;292;465;1,443;7,717;33;1,640;802;462;501;2;268
Jun 1, 2020;3:00 PM;1,155;300;442;1,656;7,529;33;1,634;797;458;494;3;268
Jun 1, 2020;3:15 PM;1,155;303;434;1,835;7,328;33;1,632;801;450;499;1;265
Jun 1, 2020;3:30 PM;1,155;298;449;1,969;7,091;33;1,636;802;452;502;0;267
Jun 1, 2020;3:45 PM;1,158;308;441;2,193;6,816;33;1,655;810;452;500;0;268
Jun 1, 2020;4:00 PM;1,159;332;422;2,298;6,516;33;1,678;829;452;515;10;268
Jun 1, 2020;4:15 PM;1,158;352;414;2,268;6,211;33;1,742;839;458;512;32;270
Jun 1, 2020;4:30 PM;1,157;356;400;2,317;5,857;33;1,760;839;454;522;143;269
Jun 1, 2020;4:45 PM;1,164;365;391;2,289;5,482;33;1,816;825;457;527;263;270
Jun 1, 2020;5:00 PM;1,159;344;396;2,245;5,075;33;1,846;839;459;580;30;268
Jun 1, 2020;5:15 PM;1,163;374;394;2,255;4,653;33;1,862;856;457;626;11;269
Jun 1, 2020;5:30 PM;1,161;396;352;2,195;4,198;33;1,901;853;458;654;87;269
Jun 1, 2020;5:45 PM;1,163;412;337;2,195;3,737;33;1,920;866;463;737;220;269
Jun 1, 2020;6:00 PM;1,161;374;343;2,165;3,270;33;1,897;890;471;860;116;270
Jun 1, 2020;6:15 PM;1,161;379;339;2,162;2,799;33;1,905;907;476;894;232;269
Jun 1, 2020;6:30 PM;1,161;409;350;2,144;2,334;33;1,922;929;482;937;232;269
Jun 1, 2020;6:45 PM;1,162;429;367;2,149;1,895;33;1,926;1,028;491;975;381;269
Jun 1, 2020;7:00 PM;1,161;377;374;2,074;1,485;33;1,945;1,126;503;1,071;361;269
Jun 1, 2020;7:15 PM;1,161;429;391;2,044;1,136;33;1,949;1,146;502;1,104;488;270
Jun 1, 2020;7:30 PM;1,160;443;409;2,029;853;33;1,950;1,172;508;1,118;600;269
Jun 1, 2020;7:45 PM;1,154;442;432;1,973;645;33;1,946;1,177;535;1,152;727;269
Jun 1, 2020;8:00 PM;1,158;373;462;1,935;473;33;1,928;1,238;551;1,176;862;269
Jun 1, 2020;8:15 PM;1,156;381;485;1,918;326;33;1,925;1,318;532;1,172;766;270
Jun 1, 2020;8:30 PM;1,157;384;509;1,908;201;33;1,932;1,336;544;1,173;743;270
Jun 1, 2020;8:45 PM;1,155;378;520;1,935;106;33;1,943;1,365;529;1,170;637;272
Jun 1, 2020;9:00 PM;1,161;425;515;2,060;38;33;1,953;1,418;509;1,162;879;273
Jun 1, 2020;9:15 PM;1,160;428;508;2,224;9;33;1,953;1,432;494;1,163;706;273
Jun 1, 2020;9:30 PM;1,160;400;522;2,394;1;33;1,954;1,488;477;1,162;500;272
Jun 1, 2020;9:45 PM;1,155;370;537;2,537;0;33;1,942;1,530;480;1,169;371;273
Jun 1, 2020;10:00 PM;1,156;381;540;2,639;0;33;1,929;1,481;491;1,173;525;272
Jun 1, 2020;10:15 PM;1,149;355;537;2,774;0;33;1,928;1,460;493;1,174;394;272
Jun 1, 2020;10:30 PM;1,150;370;526;2,872;0;33;1,929;1,449;491;1,175;283;271
Jun 1, 2020;10:45 PM;1,155;364;521;2,907;0;33;1,929;1,378;468;1,170;288;273
Jun 1, 2020;11:00 PM;1,158;387;508;2,889;0;33;1,929;1,237;407;1,167;331;274
Jun 1, 2020;11:15 PM;1,157;352;484;2,844;0;33;1,928;1,193;412;1,167;266;273
Jun 1, 2020;11:30 PM;1,159;346;457;2,810;0;33;1,929;1,149;408;1,161;235;257
Jun 1, 2020;11:45 PM;1,154;344;436;2,766;0;33;1,929;1,114;407;1,164;235;197
Jun 2, 2020;12:00 AM;1,152;349;419;2,729;0;33;1,931;1,067;491;1,012;67;184
Jun 2, 2020;12:15 AM;1,153;343;381;2,677;0;33;1,931;1,034;524;993;32;184
Jun 2, 2020;12:30 AM;1,152;347;334;2,604;0;33;1,928;1,035;513;996;55;184
Jun 2, 2020;12:45 AM;1,148;345;284;2,504;0;33;1,930;1,035;515;995;36;184
Jun 2, 2020;1:00 AM;1,150;348;246;2,481;0;33;1,939;1,052;550;987;60;184
Jun 2, 2020;1:15 AM;1,152;354;230;2,414;0;33;1,938;1,033;551;1,002;43;183
Jun 2, 2020;1:30 AM;1,150;347;216;2,352;0;33;1,937;1,013;551;994;55;175
Jun 2, 2020;1:45 AM;1,154;348;213;2,283;0;33;1,938;1,016;555;987;51;175
Jun 2, 2020;2:00 AM;1,155;350;210;2,218;0;33;1,938;1,018;562;1,000;45;175
Jun 2, 2020;2:15 AM;1,157;349;207;2,188;0;33;1,938;1,023;558;1,017;40;175
Jun 2, 2020;2:30 AM;1,160;348;210;2,129;0;33;1,938;1,021;558;1,018;40;175
Jun 2, 2020;2:45 AM;1,157;349;205;2,082;0;33;1,938;1,020;550;1,012;62;178
Jun 2, 2020;3:00 AM;1,159;349;193;2,050;0;33;1,938;1,042;542;999;27;178
Jun 2, 2020;3:15 AM;1,158;346;188;1,999;0;33;1,937;1,059;544;1,016;26;178
Jun 2, 2020;3:30 AM;1,159;347;172;1,953;0;33;1,939;1,053;543;1,038;26;178
Jun 2, 2020;3:45 AM;1,155;344;159;1,906;0;33;1,938;1,061;544;1,062;51;178
Jun 2, 2020;4:00 AM;1,161;344;157;1,849;0;33;1,937;1,091;537;1,113;28;178
Jun 2, 2020;4:15 AM;1,163;343;161;1,794;0;33;1,933;1,106;537;1,119;26;178
Jun 2, 2020;4:30 AM;1,161;350;165;1,774;1;33;1,934;1,128;552;1,118;24;178
Jun 2, 2020;4:45 AM;1,161;354;167;1,748;2;33;1,936;1,157;559;1,087;27;178
Jun 2, 2020;5:00 AM;1,165;346;174;1,708;14;33;1,933;1,165;569;1,144;24;177
Jun 2, 2020;5:15 AM;1,167;344;176;1,703;39;33;1,929;1,256;581;1,211;23;177
Jun 2, 2020;5:30 AM;1,161;368;176;1,646;94;33;1,934;1,302;593;1,278;43;177
Jun 2, 2020;5:45 AM;1,165;377;179;1,557;188;33;1,940;1,383;610;1,297;173;177
Jun 2, 2020;6:00 AM;1,168;384;181;1,505;315;33;1,937;1,504;621;1,476;359;177
Jun 2, 2020;6:15 AM;1,167;384;171;1,444;490;33;1,941;1,600;635;1,638;397;177
Jun 2, 2020;6:30 AM;1,160;408;157;1,405;718;33;1,960;1,676;645;1,698;638;177
